a52dec 0.7.4-11
haskell-conduit-extra 1.3.6-4
haskell-connection 0.3.1-203
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-19
haskell-data-default 0.7.1.1-231
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-244
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-51
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-151
haskell-dlist 1.0-166
haskell-doclayout 0.3.1.1-21
haskell-doctemplates 0.10.0.1-69
haskell-emojis 0.1.2-23
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-39
haskell-haddock-library 1.10.0-140
haskell-hashable 1.4.0.2-19
haskell-hourglass 0.2.12-195
haskell-hslua 2.1.0-23
haskell-hslua-aeson 2.1.0-23
haskell-hslua-classes 2.1.0-23
haskell-hslua-core 2.1.0-23
haskell-hslua-marshalling 2.1.0-23
haskell-hslua-module-path 1.0.1-23
haskell-hslua-module-system 1.0.1-23
haskell-hslua-module-text 1.0.1-23
haskell-hslua-module-version 1.0.1-23
haskell-hslua-objectorientation 2.1.0-23
haskell-hslua-packaging 2.1.0-23
haskell-hsyaml 0.2.1.1-7
haskell-http-client 0.7.11-31
haskell-http-client-tls 0.3.6.1-26
haskell-http-types 0.12.3-243
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-27
haskell-ipynb 0.2-25
haskell-jira-wiki-markup 1.4.0-62
haskell-juicypixels 3.3.7-19
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-227
haskell-lpeg 1.0.2-13
haskell-lua 2.1.0-13
haskell-memory 0.17.0-15
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-60
haskell-network 3.1.2.7-27
haskell-network-uri 2.6.4.1-84
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-lua-marshal 0.1.5.1-23
haskell-pandoc-types 1.22.2-21
haskell-pem 0.2.4-232
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-9
haskell-quickcheck 2.14.2-326
haskell-random 1.2.1.1-24
haskell-resourcet 1.2.5-7
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-62
haskell-sha 1.6.4.4-19
